did,diagnose
"1","Abdominal aortic aneurysm(enlarged major blood vessel)"
"2","Abdominal swelling"
"3","Abdominal trauma"
"4","Abrasions (scrapes)"
"5","ACE inhibitor induced coughblood pressure medication side effectDrug-induced coughDrug reaction: ACE inhibitor"
"6","acetaminophen overdoseAdverse reaction to acetaminophen"
"7","Tylenol acetaminophen poisoning"
"8","Achilles tendonitis (heel tendon inflammation)"
"9","Achilles tendon rupture(heel tendon tear)"
"10","Acid LSD abuse"
"11","Acidosis (excessive acid in the body)"
"12","Acoustic neuroma(ear nerve tumor)"
"13","AC joint separationacromioclavicular joint separationclosed separation of acromioclavicular joint"
"14","Acute angle closure glaucomaincreased inner eye pressure"
"15","Acute fatty liver of pregnancy"
"16","Adenoiditis (a type of lymph node inflammation)"
"17","Adenovirus infection (virus infection)"
"18","Frozen shoulder (adhesive capsulitis of shoulder)"
"19","Adjustment disorder (poor adjustment to life stressor)"
"20","Alcohol ethanol intoxication"
"21","Alcohol ethanol abuse"
"22","Alcohol ethanol poisoning (overdose)"
"23","Alcohol withdrawal syndrome (mild)"
"25","Alcoholism"
"26","Allergic reaction"
"27","Allergic rhinitis (allergic reaction in the nose)"
"28","Allergy"
"29","Confusion (altered mental status)"
"30","Altered mental statusconfusion"
"31","Altitude illnessIllnesses due to high altitude effects"
"32","Amebiasisameba infection"
"33","Amphetamine abuse"
"34","Amphetamine overdose"
"36","Anal fissure (tear)"
"37","Anaphylactoid reactions (pseudo allergic reaction)"
"38","Anaphylaxis(severe/life threatening allergic reaction)"
"39","Anemia (low red blood cell count)"
"40","Ankle laceration (cut in skin)"
"41","Ankle swelling"
"42","Ankylosing spondylitis (severe spine arthritis)"
"43","Anophelesmosquito bite"
"44","Anorectal abscess(perirectal) abscess"
"45","Anorexia(eating disorder)"
"46","Anorexia nervosa (eating disorder)"
"47","Ant bite"
"48","Anticholinergic drug overdose"
"49","Antidepressant overdose"
"50","Anxiety"
"51","Anxiety disordergeneralized anxiety disorderGAD"
"52","Aortic valve stenosistight heart valve"
"54","Aphthous ulcersmouth stomatitis"
"55","Aplastic anemiabone marrow failure"
"56","Appendicitis"
"57","Arm lacerationskin cut"
"58","Arm swelling"
"59","Arrhythmiaabnormal heart rhythm"
"60","Arteriovenous malformationblood vessel abnormality, AVM"
"61","Arthritisjoint inflammation"
"62","Aseptic joint effusionfluid in a jointEffusion of joint"
"63","Aseptic necrosis of bonebone death and destruction"
"64","Aspirinsalicylates overdose"
"65","Asthma"
"66","Atopic dermatitiseczema"
"67","Atrial fibrillationirregular heart rate"
"68","Atrioventricular node conduction blockheart block"
"69","Atypical pneumonialung infection"
"70","Autoimmune conditions"
"71","Autoimmune disease"
"72","Avulsionsforcible tissue detachment"
"73","Back traumainjury"
"74","Bacterial dysenterybacterial infection of the intestines"
"75","Bacterial infection"
"76","Bacterial overgrowth of small intestineBacterial Overgrowth Syndrome"
"77","Bacterial vaginosisvaginal infection"
"78","Baker's cystfluid sac behind knee"
"79","Balanitispenis swelling"
"80","Barrett's esophagusesophagus inflammation"
"81","Bartholin abscess or cystsac of pus near the vaginal opening"
"82","Basilar artery migraineheadache"
"83","Basilar skull fracturebroken skull"
"84","Beta blocker overdoseblood pressure medication overdose"
"85","Behcets diseasesmall blood vessel inflammation disorder"
"86","Bee stingwasp sting"
"87","Bell's palsyfacial muscle weakness"
"88","Benign positional vertigosensation of spinning"
"89","Benign prostatic hyperplasiaprostate enlargement"
"90","BenzodiazepineValium abuse"
"91","BenzodiazepineValium overdose"
"93","Bipolar disordermanic depressive disorder"
"94","Black widow spider bite"
"95","Bladder cancer"
"96","Bladder stone, urinary"
"97","Bleeding tendencybleeding disorder"
"98","Blepharitiseyelid swelling"
"99","Blood loss"
"101","Body dysmorphic disorderbody appearance obsession"
"102","Bone metastasescancer spread to bone"
"103","Botulismbacterial toxin causing muscle weakness"
"105","Bradycardiaslow heart rate"
"106","Brain abscesscollection of pus in the brain"
"107","Brain tumorcancer of the brain"
"108","Breast abscesscollection of pus in the breast"
"109","Breast cancertumor"
"110","Breast fat necrosisdead breast fat"
"111","Breast fibroadenomabenign breast lumps"
"112","Bronchial asthma"
"113","Bronchiectasisbronchial tube inflammatory damage"
"114","Bronchiolitisbronchial tube inflammation"
"115","Bronchitisbronchial tube infection"
"116","Brown recluse spider bite"
"117","Bulimia nervosabinge eating, vomiting"
"118","Burkitt lymphomalymph node tumor"
"119","Burning mouth syndrome"
"120","Burns"
"121","Bursitisinflammation of joint cushion"
"122","Caffeine use"
"123","Calcium channel blocker overdoseblood pressure medication overdose"
"124","Calluses and corns"
"125","Campylobacter infectionintestinal bacterial infection"
"126","Cancertumor"
"127","Candida albicansyeast infection"
"128","Carbon monoxide poisoningodorless, poisonous gas"
"129","Cardiac arrhythmiaabnormal heart rate"
"130","Cardiomyopathyweakened heart"
"131","Carotid artery dissectionneck artery tear"
"132","Carotid cavernous fistulaabnormal blood vessel communication"
"133","Carpal tunnel syndromewrist nerve compression"
"134","Spinal cord compressioncauda equina syndrome"
"135","Cavernous sinus aneurysmhead vein dilation"
"136","Cavernous sinus thrombosishead vein blood clot"
"137","Cavernous sinus tumorhead vein cancer"
"138","Cavitytooth caries"
"139","Celiac diseaseceliac sprue"
"140","Cellulitisskin infection"
"142","Cerebellar hemorrhagebleeding in back of brain"
"143","Cerebellar syndromeloss of coordination"
"144","Cerebral contusionbruise of brain"
"145","Cerebral palsymovement disorder"
"146","Cerebral vascular accidentstroke"
"147","Cerebrospinal fluid rhinorrhealeakage of brain fluid from the nose"
"148","Cerumen impactionear wax buildup"
"149","Cervical cancertumor"
"150","Cervical lymphadenopathyenlarged neck lymph nodes"
"151","Cervical radiculopathypinched nerve in neck"
"152","Cervical spine fracturebroken neck bone"
"153","Cervical spondylosisneck arthritis"
"154","Cervicitisinflammation of the lower uterus"
"155","Chagas diseasetrypanosomiasis"
"158","Chest traumainjury"
"159","Child abuse"
"160","Chlamydia trachomatis infectionSTD"
"161","Chlorine bleach ingestion"
"162","Cholangitisinflammation of the bile ducts"
"163","Cholecystitisinflammation of the gallbladder"
"164","Choledocholithiasisstone in bile duct"
"165","Cholelithiasisgallstones"
"166","Choleraintestinal bacterial infection"
"167","Cholesteatomamiddle ear mass"
"168","Chronic fatigue syndromeCFS"
"169","Chronic liver disease"
"170","Chronic obstructive pulmonary diseaseCOPD, emphysema"
"171","Chronic pain"
"172","Cirrhosisliver failure and scarring"
"173","Cluster headacheone-sided headache behind the eye"
"174","Coarctation of aortanarrowing of the aorta"
"175","Cocaine abuse"
"176","Cocaine overdose"
"177","Colicprolonged infant crying episodes"
"178","Colitislarge intestine inflammation"
"179","Colonic diverticulitisinflammation of pouches in the large intestine"
"180","Colon cancerlarge intestine tumor"
"181","Common coldupper respiratory infection"
"182","Common spider bitespider bite"
"183","Compartment syndromeincreased pressure inside muscles"
"184","Concussion"
"185","Congestive heart failureCHF"
"186","Conjunctivitispink eye"
"187","Constipation"
"188","Contact dermatitiscontact skin irritation"
"189","Poison ivypoison oak, poison sumac"
"190","Contact urticariahives"
"191","Contusionbruise, ecchymosis"
"192","Corneal abrasionscrape on eye"
"193","Corneal foreign bodyobject in the eye"
"194","Coronary artery dissectionheart artery tear"
"195","Costochondritischest wall inflammation"
"196","Cough medicine abuse"
"197","Crohn's diseaseregional enteritis, Crohn's colitis, intestinal inflammation"
"198","Cryptosporidium infectiondiarrheal parasite infectionInfection by CryptosporidiumCryptosporidiosis infectionInfection by Cryptosporidium parvum"
"199","Cushing diseaseexcessive pituitary gland hormones"
"200","Cutaneous larva migransparasitic skin disease"
"201","Cystocelebladder hernia"
"202","Cytomegalovirus infectionCMV viral infection"
"203","De Quervain's tenosynovitishand tendon inflammation"
"204","Deep venous thrombosisDVT, venous blood clot"
"205","Dehydration"
"206","Delirium tremensDTs, severe alcohol withdrawal"
"207","Dementiadecline in mental ability"
"208","Dengue fevertropical mosquito borne illness"
"209","Dental abscesstooth infection"
"210","Dental eruptionappearance of new tooth"
"211","Dentures"
"212","Depressionexcessive sadness"
"213","Diabeteshigh blood sugar"
"214","Diabetes mellitus type 2elevated blood sugar"
"215","Diabetic ketoacidosisDKA, a complication of poorly controlled diabetes"
"216","Diffuse esophageal spasmpainful contractions of the esophagus"
"217","Benadryldiphenhydramine overdose"
"218","Diphtheria infectionbacterial respiratory infection"
"219","Discitisspinal disk inflammation"
"220","Dislocationjoint out of place"
"221","Dissecting aortic aneurysmtearing and dilation of the aorta"
"222","Disseminated intravascular coagulationDIC, abnormality of blood clotting"
"223","Unisom overdosedoxylamine overdose"
"224","Dressler syndromeheart sac inflammation following heart attack or heart surgery"
"225","Drug overusePrescription Drug Overuse"
"226","Drug overdose"
"227","Drug reaction"
"228","Dry air nasal irritation"
"229","Dry socketpain after tooth removal"
"230","Dysfunctional uterine bleedingabnormal vaginal bleeding"
"231","E. coli infectionEscherichia coli, bacterial infection"
"232","Ear lacerationcut on the ear"
"233","Ear swelling"
"234","Eclampsiahypertensive disorder of pregnancy"
"235","EcstasyMDMA abuse"
"236","Ectopic pregnancytubal pregnancy"
"237","ElapidElapid venomcobra, coral, mamba venom toxicity"
"238","Empyemacollection of pus in chest"
"239","Encephalitisbrain infection"
"240","Endometrial cancercancer of the lining of the uterus"
"241","Endometriosisuterine tissue outside the uterus"
"242","Endometritisinflammation of the uterus"
"244","Enlarged lymph nodeslymphadenopathy"
"245","Entamoeba histolytica infectionameba infectionInfection due to Entamoeba histolytica"
"246","Hypothermiaextreme cold exposure"
"247","Hyperthermiaextreme heat exposure"
"248","Epidermal cyst"
"249","Inflammation of testicular tubesepididymitis"
"250","Epidural abscessbrain or spine pus collection"
"251","Epidural hematomableeding around brain or spine"
"252","Epiglottitissevere throat inflammation"
"253","Nose bleedepistaxis"
"255","Erythrasmachronic bacterial skin infection"
"256","Esophageal achalasiaswallowing disease"
"257","Esophageal cancertumor"
"258","Esophageal cyst"
"259","Esophageal foreign body"
"260","Esophageal rupturetear in esophagus"
"261","Esophageal spasmpainful muscle contraction"
"262","Esophageal stricturenarrowing of the esophagus"
"263","Esophageal varicesdilation of esophageal veins"
"264","Esophageal webSchatzki's ring, constriction of esophagus"
"265","Esophagitisesophageal inflammation"
"266","Essential hypertensionhigh blood pressure"
"267","Estrogen withdrawalfemale hormone"
"269","Extremity traumaleg or arm injury"
"270","Eye traumainjury"
"271","Eyelid lacerationskin cut"
"272","Eyelid swelling"
"273","Facial lacerationskin cut"
"274","Facial traumafacial injury"
"275","Facial swelling"
"276","Fallen archesflat feet, pes planus"
"277","False pregnancy"
"278","Familial cold urticariacold-related hives"
"279","Fat embolismblood clot from fat"
"280","Febrilefever illness"
"281","Febrile seizureconvulsion in child with a fever"
"282","Fecal impactionrectal blockage from stool"
"284","Femoral artery aneurysmdilation of leg artery"
"285","Femoral herniagroin hernia"
"286","Fetal alcohol syndrome"
"287","Feverelevated temperature"
"289","Fibrocystic breastsbreast lumpiness"
"290","Fibroiduterine muscle tumor"
"291","Fibromyalgiachronic pain disorder"
"292","Filariasiselephantiasis"
"293","Finger lacerationskin cut"
"294","Finger pulp infectionfelon"
"295","Finger swelling"
"296","Foot lacerationskin cut"
"297","Foot swelling"
"298","Foreign bodyobject originating outside the body"
"300","Foreign body in the eye"
"302","Fracturebroken bone"
"303","Functional disorderspsychogenic illness"
"304","Fungal infections"
"305","Bacterial vaginosisBV, garnerella vaginalis"
"306","Gastric ulcerstomach ulcer"
"307","Gastritisstomach inflammation"
"308","Gastroenteritisintestinal infection"
"309","Gastroesophageal refluxGERD, heartburn"
"310","Gastrointestinal bleedingstomach, intestine bleeding"
"313","Genital herpesHSV type 2 infection"
"314","Genital wartsHPV, Human papillomavirus infection"
"315","Gestational diabetesdiabetes during pregnancy"
"316","Gestational hypertensionhigh blood pressure in pregnancy"
"317","Giardiasisgiardia infection"
"318","Gingivitisinflammation of the gums"
"319","Glaucomaelevated eye pressure"
"320","Goiterenlarged thyroid"
"321","Gouturic acid crystals in the joint causing inflammation"
"322","Guillain Barre syndromeascending muscle weakness"
"323","Bunion of big toehallux valgus"
"324","Hammer toestoe deformity"
"325","Hand lacerationskin cut"
"326","Hand swelling"
"327","Hand foot and mouth diseaseCoxsackie virus"
"328","Hantavirus infectionrare, serious viral infection"
"329","Head injury"
"330","Head trauma"
"331","Headache"
"332","Hearing loss"
"334","Heat cramps"
"335","Heat exhaustion"
"336","Heat rash"
"337","Heat stroke"
"338","Hematocelecollection of blood around testicle"
"339","Hematomacollection of blood"
"340","Hemophiliainherited bleeding disorder"
"341","Hemoptysiscoughing blood"
"342","Hemorrhage of pregnancyvaginal bleeding during pregnancy"
"343","Hemorrhoidenlarged rectal veins"
"344","Hemotympanumblood behind ear drum"
"345","Henoch Schönlein purpurablood vessel inflammation"
"346","Hepatic abscesscollection of pus in the liver"
"347","Hepatitisliver inflammation"
"348","Hereditary hemorrhagic telangiectasiaOsler Weber Rendu syndrome"
"349","Hernia"
"350","Herniated discslipped disc, ruptured disc"
"351","Herpes simplex infectionviral infection"
"352","Herpes stomatitisviral mouth infection"
"353","Herpes vulvovaginitisviral infection of the vaginaHerpesviral vulvovaginitis"
"354","Hiatal herniastomach pushes through diaphragm"
"356","Hip fracturebroken hip"
"358","Hordeolumstye of eye"
"360","Humerus fracturebroken upper arm"
"361","Hydrocelefluid collection near the testicle"
"362","Hyperemesis gravidarumsevere vomiting in pregnancy"
"363","Hyperkalemiaelevated potassium level"
"364","Hypertensionhigh blood pressure"
"365","Hypertensive emergencyseverely high blood pressure"
"367","Hyperthyroidismelevated thyroid hormone"
"368","Hypertrophic cardiomyopathythickened heart muscle"
"369","Hyperventilationrapid breathing"
"370","Hyphematraumatic blood in eye"
"371","Hypocalcemialow blood calcium"
"372","Hypoglycemialow blood sugar"
"373","Hypokalemialow blood potassium"
"374","Hypokalemic periodic paralysisinherited muscle weakness and low potassium"
"375","Hyponatremialow blood sodium"
"376","Hypotensionlow blood pressure"
"377","Hypothyroidismlow thyroid hormone"
"378","Hypoxialack of oxygen"
"379","Nonsteroidal anti-inflammatory drug overdoseMotrin, Advil"
"381","Impacted toothtooth that doesn't erupt"
"382","Impingement syndrome of shoulderbone rubs again tendon, bursa"
"383","Infection"
"384","Infectious mononucleosisEpstein Barr virus, ""Mono"""
"386","Inflammatory conditions"
"387","Influenzaseasonal flu"
"388","Inguinal herniagroin hernia"
"389","Inhalants abusehuffing"
"391","Insulin overdose"
"392","Interstitial cystitisbladder inflammation"
"393","Intestinal ischemiadecreased intestinal blood flow"
"394","Intestinal volvulustwisting of intestine"
"395","Intracranial hemorrhagebleeding in brain"
"396","Intrahepatic cholestasis of pregnancyliver disorder in pregnancy"
"398","Intravenous drug abuseIVDA"
"399","Intussusceptiontelescoping intestine"
"400","Iron overdose"
"401","Irritable bowel syndromeIBS, chronic intestinal pain and cramping"
"402","Jet lag"
"403","Kaposi Sarcomatype of cancer"
"404","Kawasaki diseasepediatric blood vessel disease"
"405","Keratitisinflammation of cornea"
"406","Kidney cancertumor"
"407","Knee lacerationskin cut"
"408","Knee swelling"
"409","Labyrinthitisdizziness and vertigo"
"410","Lacerationskin cut"
"411","Bowel obstructionintestinal blockage"
"412","Laryngeal carcinomathroat cancer"
"413","Laryngitisvoice box inflammation"
"414","Tennis elbowlateral epicondylitis"
"415","Laxative abuse"
"416","Lead overdoselead poisoning"
"417","Lead poisoningtoxicity"
"418","Leg lacerationskin cut"
"419","Leg swellingleg edema"
"420","Legg Calve Perthes diseasechildhood hip condition"
"421","LegionellosisLegionnaires' disease"
"422","Leishmaniasisparasitic infection, kala azar"
"423","Leptospirosisbacterial infection"
"424","Leukemiablood cell cancer"
"425","Lichen planuschronic skin inflammation"
"426","Ligament sprainconnection between two bones"
"427","Ligament tearconnection between two bones"
"428","Limb ischemiadecreased blood flow"
"429","Lip lacerationskin cut"
"430","Lip swelling"
"431","Lipomabenign fatty tumor"
"432","Liver abscesscollection of pus"
"433","Liver cancertumor"
"434","Low blood pressurehypotension"
"436","Low plateletsthrombocytopenia"
"437","Ludwigs anginasevere infection in the floor of the mouth and neck"
"439","Lung abscesscollection of pus"
"440","Lung cancertumor"
"441","Lupussystemic lupus erythematosus, SLE"
"442","Lyme diseasebacterial infection from ticks"
"443","Lymphangitislymph tissue inflammation"
"444","Magic mushroom ingestionpsilocybin"
"445","Major depressive disordersevere depression"
"446","Malabsorption syndromeabnormal intestinal digestion"
"447","Malariamosquito transmitted illness"
"448","Malignant hyperthermiarare temperature abnormality"
"449","Mallet fingerfinger tendon rupture"
"450","Mallory Weiss syndromeesophageal tear"
"451","Malnutrition"
"452","Marijuana use"
"453","Mastitisbreast infection inflammation"
"454","Maxillary sinus carcinomasinus cancer"
"455","Measlesviral disease with typical rash"
"456","Meckel's diverticulumbulge in small intestine"
"458","Mediastinitisinner chest inflammation"
"461","Meniere's diseasedizziness and vertigo"
"462","Meningitisspinal fluid infection"
"463","Meniscus injuryknee cartilage injury"
"464","Menopauseend of menstruation and fertility"
"466","Metastatic neoplasmcancer spread"
